canonical_name,college,draft_year,round,pick,label_status,success_tier,hit,seasons_primary_starter,draft_adjusted_hit_prob,model_hit_prob_pre_draft,model_hit_prob_post_draft,model_hit_prob_pre_draft_no_pff,model_hit_prob_post_draft_pff,model_hit_prob_pick_only,pff_model_delta,model_expected_tier,percentile_vs_history,top_positive_indicators,top_negative_indicators,data_coverage,notes
Baker Mayfield,Oklahoma,2018,1,1,final,3.0,1.0,7.0,0.9252600222291377,0.735496578598648,0.9252600222291377,0.7977685315850002,0.9336959196375889,0.710919425699089,-0.06227195298635213,3.253422864891367,100.0,"Career total production (PPA); Career PPA per play; Big-time-throw rate, no screens (final yr)","Broad-jump explosiveness; Weight/frame; PFF accuracy %, no screens (final yr)","PFF, combine",Ended CLE playoff drought 2020; career revival in TB with Pro Bowl seasons and 100M+ deal
Patrick Mahomes,Texas Tech,2017,1,10,final,4.0,1.0,8.0,0.5203142237402748,0.6099310201033367,0.5203142237402748,0.4373630407692927,0.7608425969701397,0.3191834262391358,0.17256797933404394,2.9340955845081846,99.3,"Career total production (PPA); Turnover-worthy-play rate, no screens (final yr); PFF dropbacks (final yr)","PFF accuracy %, no screens (final yr); Broad-jump explosiveness; College seasons (age/declare proxy)","PFF, combine","Generational: multiple MVPs, 3 Super Bowl titles, 5 SB appearances through 2025"
Jalen Hurts,Oklahoma,2020,2,53,final,4.0,1.0,5.0,0.4914712963609205,0.5918362814466424,0.4914712963609205,0.6743980661628687,0.5321044657651834,0.12369148503224109,-0.08256178471622633,2.8365284219913414,98.5,Career total production (PPA); Broad-jump explosiveness; Career PPA per play,"Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF dropbacks (final yr)","PFF, combine","SB LIX MVP, 2 SB appearances, second-team All-Pro 2022"
Deshaun Watson,Clemson,2017,1,12,final,3.0,1.0,3.0,0.6135599685835309,0.5868958029519779,0.6135599685835309,0.5815307041379479,0.6943010170311623,0.29136569467307144,0.005365098814029912,2.7722606865752994,97.8,Career total production (PPA); Career PPA per play; PFF passing grade under pressure (final yr),College seasons (age/declare proxy); Power-5 competition,"PFF, combine","Elite HOU peak (led NFL passing yards 2020, 3 Pro Bowls); trade + suspension + injuries cratered CLE tenure"
Caleb Williams,USC,2024,1,1,projection_target,3.0,,2.0,0.852257526242158,0.5799730239447474,0.852257526242158,0.6050947045849383,0.8949952515127036,0.710919425699089,-0.025121680640190935,2.624003311232153,97.1,Career total production (PPA); Career PPA per play; PFF rushing grade (final yr),"PFF passing grade under pressure (final yr); Pressure-to-sack rate, no screens (final yr); Weight/frame","PFF, combine (no 40)",Rough rookie year behind poor structure; clear step forward 2025 under Ben Johnson
Kyler Murray,Oklahoma,2019,1,1,final,3.0,1.0,6.0,0.710919425699089,0.5354443443499715,0.6829629841271064,0.5037131995357201,0.667546117969521,0.710919425699089,0.03173114481425132,2.378379015401464,96.3,Career PPA per play; PFF rushing grade (final yr); Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; PFF accuracy %, no screens (final yr)","PFF, combine (no 40)","OROY, 2 Pro Bowls, mega extension; injuries and inconsistency keep him below elite tier"
Jayden Daniels,LSU,2024,1,2,projection_target,4.0,,2.0,0.8304931945388637,0.5295898190643606,0.8304931945388637,0.6090508708328483,0.7657110325991001,0.598911649624323,-0.07946105176848761,2.636212175775216,95.6,Career total production (PPA); PFF rushing grade (final yr); Career PPA per play,"Turnover-worthy-play rate, no screens (final yr); Weight/frame; College seasons (age/declare proxy)","PFF, combine (no 40)",OROY 2024 + NFC title game run as rookie; injury-marred 2025 but elite trajectory
Mason Rudolph,Oklahoma State,2018,3,76,final,1.0,0.0,1.0,0.4045347749441485,0.5177285839649355,0.4045347749441485,0.582528261231616,0.4535179928083651,0.09820143360060414,-0.06479967726668057,2.475070653920917,94.9,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"College seasons (age/declare proxy); 40-yard speed; Pressure-to-sack rate, no screens (final yr)","PFF, combine","Long-time PIT backup; 8 starts 2019, late-2023 playoff-push starter"
Trevor Lawrence,Clemson,2021,1,1,final,3.0,1.0,5.0,0.7485963323084599,0.5098810071832003,0.7485963323084599,0.4053868736266184,0.8287842823546675,0.710919425699089,0.10449413355658188,2.2151401153904136,94.1,"Career total production (PPA); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)",PFF dropbacks (final yr); Weight/frame; PFF passing grade under pressure (final yr),"PFF, combine (no 40)","Franchise starter: 2022 playoff comeback win, $55M/yr extension 2024; consistency and injuries still questions"
Taylen Green,Arkansas,2026,6,182,projection_target,,,,0.25337006636796605,0.4896054010224592,0.25337006636796605,0.4911415885140121,0.5338975941825044,0.05489131019780862,-0.0015361874915528761,2.8961870645536925,93.4,"Broad-jump explosiveness; Turnover-worthy-play rate, no screens (final yr); Career total production (PPA)","PFF passing grade under pressure (final yr); Career PPA per play; Big-time-throw rate, no screens (final yr)","PFF, combine",Draft slot from ESPN/NFL.com; no NFL outcome yet
Cam Ward,Miami (FL),2025,1,1,projection_target,2.0,,1.0,0.7136109879394171,0.4649576794709009,0.7136109879394171,0.3842114391253286,0.7783654633351195,0.710919425699089,0.08074624034557226,1.9766282509302595,92.6,Career total production (PPA); Passing-down efficiency (final yr); Career PPA per play,"College seasons (age/declare proxy); Weight/frame; PFF accuracy %, no screens (final yr)","PFF, combine (no 40)",Full-time rookie starter on weak TEN roster; flashes amid struggles
Clayton Tune,Houston,2023,5,139,provisional,1.0,0.0,0.0,0.2586371433684909,0.45930007231349873,0.2586371433684909,0.38890625996689715,0.3502141496260191,0.06586968914414593,0.07039381234660158,2.2021606528489284,91.9,Career total production (PPA); Broad-jump explosiveness; Passing-down efficiency (final yr),"College seasons (age/declare proxy); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine","ARI backup, minimal action"
